feature	Acidaminococcaceae	Eubacteriaceae	Bacteroidales_unclassified	Bacteroidaceae	Clostridia_unclassified	Ruminococcaceae	Odoribacteraceae	Prevotellaceae	Lachnospiraceae	Enterobacteriaceae	Rikenellaceae	Akkermansiaceae	Tannerellaceae	Clostridiaceae	Alphaproteobacteria_unclassified	Sutterellaceae	Veillonellaceae	Lactobacillaceae	FGB1798
SRR16554710	-7.47043959194701	-10.4358233366615	-2.92851790957002	-3.23005559717125	-6.63109193889008	-4.22876877267763	-6.61827880042269	-1.29542238922651	-4.83846049378489	-9.20259880406543	-2.82877765090014	NA	-3.97451643916331	-6.54957202839912	NA	-6.39330435948572	-6.91343384287641	NA	NA
SRR16554711	NA	-5.66875469900507	-1.93188163293311	-2.12552292244411	-6.06247870853468	-3.96670939440081	NA	-11.8673940162504	-2.2863132649818	-6.22609363570124	-15.512427435826	NA	-6.21663507855989	-3.79092276851556	-10.8621083374831	-4.58605201133598	-8.02741963729115	NA	NA
SRR16554712	NA	NA	-0.908942193403041	NA	-5.34640798012482	-3.5928967353668	NA	NA	-2.62059439378535	-4.12994281573949	NA	-9.22386875525891	NA	-5.44735334702479	NA	NA	-6.84893479173408	NA	NA
SRR16554713	-4.58100629699327	-3.95531520407759	-10.3131806266023	-9.93369779555799	-4.65410283616627	-2.87413784427629	NA	NA	-1.1311944007521	NA	-9.28400769181518	-4.95157565795599	-4.66093335014595	-4.92719204125814	NA	NA	-17.6599159548902	-6.65829664984058	NA
SRR16554714	NA	NA	-2.57068877089358	-0.912508228758041	-17.2993002095551	-3.55186516325376	NA	-11.5132941311741	-3.8937469596197	-10.1015286489738	-4.81039109273591	NA	-3.9825077567631	-8.58256370702692	NA	NA	-7.41139175418229	NA	NA
SRR16554715	-7.30940645217278	-11.4105211463543	-1.94488063285703	-1.90457480798717	-7.72206868427471	-3.78512522585316	-6.33477549777678	NA	-4.41000565097226	-7.29357555255802	-2.85097522444492	-12.8039889439948	-3.71578651015417	-5.81479137839395	NA	-4.9384325001619	-9.77049375456696	NA	NA
SRR16554716	-7.35580208362754	-13.7631863898086	-3.58340674863054	-1.2634981594967	-3.93508562191049	-3.3464393309977	-8.0148519815632	-8.41920893074199	-2.79415310787978	NA	-3.53389262832974	NA	-5.30944401491168	-6.26820284929243	NA	-6.93548525826395	NA	NA	NA
SRR16554717	-7.74544995135452	-10.9351661804398	-2.10301719050239	-1.97080789822604	-3.33069523116721	-3.40943293921493	NA	NA	-4.50230708828108	-4.21718099261998	-3.35552321835845	NA	-6.32671218333506	-7.86996009872593	NA	-5.22341414300436	NA	NA	NA
SRR16554718	-9.77528290797136	-8.25304906321263	-5.2937598262887	-3.5095885607725	-1.9248176645596	-1.72899652943447	-12.682105046675	-6.77996278477108	-2.94267155894124	-8.65546248507068	-6.83088507488179	NA	-4.29575003630772	-7.0371608283162	NA	-7.92425419451542	-16.6306648215846	NA	NA
SRR16554719	NA	-8.35943580805063	-4.11592909249302	-2.03066243509427	-4.40615380639704	-3.5093664298017	-10.1392652941337	-17.7299336982676	-6.09124202391033	-1.26791773315052	-5.15115082407657	-5.0343885964616	-6.66542522283476	-7.82493919212947	NA	-7.52172585152873	-7.3296807287982	-9.62356990131688	NA
SRR16554720	-6.78685723819839	-10.7966562353549	-1.56863257769704	-1.83346848415277	-9.82563262001694	-4.44318400087829	-7.08437742609116	-4.59842621722495	-4.81538158332909	-10.2007335222143	-3.62644207610574	NA	-4.6984327811314	-5.07449754109023	NA	-5.12294921243909	-9.44729047351288	NA	NA
SRR16554721	-14.4192552283659	-8.07752058113633	-3.87252188371512	-4.50383977929849	-3.03009209527314	-1.42858144200197	-7.8393935993376	-7.56432086132498	-2.81026665989505	-11.3977755009554	-3.5938904682864	-8.71588088261828	-6.50089705782152	-5.94948414531358	NA	-8.76080849711232	NA	-11.105838633334	NA
SRR16554722	-6.7901993690414	-11.6291237796267	-1.94409559265815	-1.58086547945182	-8.50363765424641	-3.11772169587944	-6.96012854070712	-13.2910548018685	-3.47654363556522	-11.4693125360844	-3.33575027638794	NA	-5.0980365291471	-5.71887145187573	NA	-6.11699187364256	NA	NA	NA
SRR16554723	-7.55820604335328	-9.16578447435011	-7.7132389777401	-2.87788084456524	-4.85802635944353	-1.80070191164752	-7.25235899693639	-14.2218245084828	-3.84556261946289	-6.74766116859491	-2.00124042133929	-3.62694122280712	-4.42135403446114	-5.91157909657961	-5.49238354106971	-7.38714215385881	NA	NA	NA
SRR16554724	NA	NA	-0.989849948217223	-1.94219824097914	NA	-6.10873415149581	-6.92852102011717	-14.6489033609625	-4.95158134726473	-11.3058781122477	NA	-8.68099542358929	-2.89641491760043	-8.11909126068339	NA	NA	-13.3409382647331	NA	NA
SRR16554725	-7.83454720210936	-11.3209661516541	-3.62577349140323	-4.33339277875055	-4.08474829977828	-3.68030047515015	NA	-1.10037575593156	-4.81987538137957	-13.6475656862653	-4.39735690736869	-5.48003226505937	-6.77596842065149	-5.59482875449286	-4.3583848448777	NA	NA	NA	NA
SRR16554726	-7.77453762031099	-11.6472202777233	-3.23418977480871	-1.55753300052209	-4.61985326104912	-2.09347299919352	-4.4798454904979	NA	-4.81641139567808	-5.30838691392595	-3.66668115431338	NA	-5.80392023775989	-5.64108881823757	NA	-7.32953194274219	NA	NA	NA
SRR16554727	-6.6351930103138	-12.7113155038006	-3.77630759455846	-3.70445188439479	-1.92267179402214	-2.48051637313395	-7.24815629373758	-6.74345390410586	-5.57445732361124	NA	-2.48982153161019	-4.13379144540601	-5.18249268689778	-6.76890240745449	NA	-7.01067591380354	NA	NA	NA
SRR16554728	-6.85999358271873	-14.0090901862143	-4.13415136974645	-3.83936019890345	-3.06481762195354	-1.75740405477566	-6.23631045002894	-6.54312136880767	-4.33756748390268	-5.58226683926481	-2.58750760208891	-3.44389749639596	-5.18713970147243	-4.97746409828704	-10.1877189320276	-12.3550860410635	NA	-9.99728257958612	NA
SRR16554729	-5.53966922050713	NA	-1.96290427401119	-1.01667678785733	NA	-6.31240079255315	NA	-4.26882737252696	-4.49271639079225	-9.5195653179486	-4.68636951268907	NA	-4.05625320592313	-6.28150847954716	NA	NA	NA	NA	NA
SRR16554730	-5.3627897598654	-7.75948226151825	-1.95173794330694	-2.71633964128352	-3.4035295233884	-2.78368615296534	-7.28312719909007	-8.03568328622223	-2.65774316566608	-13.0613347575527	-5.95702651734653	-5.10290416267688	-4.96533785465445	-5.68818113631494	NA	-5.78658959763544	NA	NA	NA
SRR16554731	-7.20843530025191	NA	-4.71778866092204	-2.44496167379137	-3.55508340291484	-1.38475540089414	-7.783239885713	-6.1032598208029	-5.53277484353505	-9.17193166532897	-2.73294068056589	-9.43637388907573	-5.44259531850413	-5.84478927096795	NA	-6.48370951077769	-12.0486835544757	NA	NA
SRR16554732	-5.55944026654714	NA	-3.92086183259643	-3.10659424347651	-6.16848863914091	-3.70538452451952	NA	-4.0430786391784	-2.56248774749067	-3.13702939798073	NA	-1.75311763743362	-4.27747358147788	-7.39719854438686	NA	NA	NA	NA	NA
SRR16554733	-6.22463426135765	-9.550617180103	-1.64285119106684	-2.18900559552156	-4.04947922426016	-3.93633230200192	NA	NA	-3.6492393291311	NA	-3.84861214593563	NA	-3.33629108785814	-6.46973273960833	NA	NA	-14.7221534884996	NA	NA
SRR16554734	NA	NA	-12.6959084141916	-1.32241043959738	-5.26421611070479	-3.75325609225397	NA	NA	-2.81424409230704	-8.60755181630512	-12.0122938461545	-13.0506499611856	NA	-3.89608891369224	-3.21195874941971	-2.95164017137206	-5.12836829150051	-14.5856567262698	NA
SRR16554735	NA	NA	-4.58290056247916	-3.60200036002155	-8.39364399837196	-4.95076667603452	NA	-0.501588349712514	-4.72019856713161	-5.83979516750403	-9.8218674496729	-7.3325505244355	-4.77905634804343	-12.36559419517	NA	-6.7922908540138	-6.63425178278004	NA	NA
